    °„C	        No	    CH0	            CH1	            CH2	            CH3
24.120	335	0.1152995894	2096.6504571826	0.4847435048	-0.2374450110
24.130	336	0.1153037617	2095.3612086392	0.4847086957	-0.2375174902
24.142	337	0.1153086493	2094.0713342471	0.4846735289	-0.2376002215
24.166	338	0.1153185436	2092.7814598549	0.4846377662	-0.2376816414
24.180	339	0.1153242657	2091.4915854628	0.4846011689	-0.2377566241
24.193	340	0.1153295109	2090.2010852218	0.4845655253	-0.2378295802
24.210	341	0.1153365442	2088.9118366785	0.4845297625	-0.2379020594
24.236	342	0.1153470347	2087.6219622864	0.4844923308	-0.2379776381
24.250	343	0.1153527567	2086.3333395918	0.4844554951	-0.2380528592
24.256	344	0.1153550217	2085.0440910485	0.4844205668	-0.2381252192
24.275	345	0.1153631279	2083.7504615635	0.4843861153	-0.2381984137
24.293	346	0.1153701613	2082.4580837761	0.4843486836	-0.2382726811
24.299	347	0.1153726647	2081.1738420232	0.4843129208	-0.2383432530
24.316	348	0.1153798172	2079.8858451775	0.4842762044	-0.2384189509
24.326	349	0.1153838703	2078.6022292735	0.4842397263	-0.2384884500
24.341	350	0.1153898308	2077.3142324277	0.4842039635	-0.2385602140
24.351	351	0.1153942415	2076.0218546404	0.4841676047	-0.2386312627
24.374	352	0.1154035399	2074.7382387363	0.4841311267	-0.2387013578
24.387	353	0.1154089043	2073.4502418906	0.4840945294	-0.2387697839
24.396	354	0.1154123613	2072.1653742889	0.4840574553	-0.2388403558
24.409	355	0.1154177258	2070.8805066872	0.4840224078	-0.2389097356
24.429	356	0.1154259512	2069.5931356903	0.4839874794	-0.2389773273
24.444	357	0.1154322693	2068.3057646934	0.4839490941	-0.2390421771
24.457	358	0.1154375145	2067.0234004869	0.4839129736	-0.2391120338
24.472	359	0.1154433558	2065.7372811876	0.4838770916	-0.2391770029
24.486	360	0.1154494354	2064.4530394347	0.4838432362	-0.2392428064
24.498	361	0.1154542038	2063.1706752283	0.4838055661	-0.2393084907
24.512	362	0.1154596874	2061.8845559290	0.4837684920	-0.2393738174
24.532	363	0.1154679129	2060.6065726642	0.4837315371	-0.2394393825
24.546	364	0.1154737541	2059.3223309113	0.4836958935	-0.2395080471
24.562	365	0.1154804299	2058.0399667048	0.4836589386	-0.2395696783
24.585	366	0.1154897282	2056.7619834400	0.4836225798	-0.2396345281
24.592	367	0.1154924700	2055.4702315015	0.4835872938	-0.2396981859
24.605	368	0.1154979536	2054.1903706902	0.4835485508	-0.2397613668
24.619	369	0.1155034373	2052.9117615766	0.4835123112	-0.2398197794
24.633	370	0.1155092785	2051.6356558583	0.4834764292	-0.2398811722
24.649	371	0.1155158350	2050.3507882566	0.4834407856	-0.2399476910
24.667	372	0.1155231068	2049.0740566894	0.4834013273	-0.2400078917
24.672	373	0.1155254910	2047.7973251222	0.4833659222	-0.2400741720
24.688	374	0.1155320475	2046.5212194038	0.4833296825	-0.2401361609
24.701	375	0.1155371735	2045.2463653831	0.4832917740	-0.2401964808
24.715	376	0.1155428955	2043.9677562694	0.4832543423	-0.2402480984
24.726	377	0.1155473063	2042.6960314927	0.4832191755	-0.2403037691
24.737	378	0.1155520746	2041.4192999255	0.4831828167	-0.2403615856
24.761	379	0.1155616114	2040.1482009976	0.4831457426	-0.2404230976
24.776	380	0.1155679295	2038.8695918840	0.4831085493	-0.2404822254
24.792	381	0.1155742476	2037.5941120144	0.4830718328	-0.2405412340
24.805	382	0.1155797312	2036.3236389353	0.4830360701	-0.2405977393
24.809	383	0.1155812809	2035.0487849145	0.4829980423	-0.2406535292
24.837	384	0.1155927250	2033.7745567426	0.4829621603	-0.2407121802
24.849	385	0.1155974934	2032.5034578147	0.4829254438	-0.2407680893
24.863	386	0.1156034539	2031.2311071891	0.4828886082	-0.2408232832
24.877	387	0.1156089375	2029.9668925981	0.4828510572	-0.2408800269
24.883	388	0.1156114409	2028.6957936702	0.4828141023	-0.2409372473
24.898	389	0.1156175205	2027.4253205911	0.4827790548	-0.2409901763
24.915	390	0.1156247923	2026.1586026048	0.4827385236	-0.2410442973
24.931	391	0.1156311104	2024.8925104673	0.4827018072	-0.2410951997
24.950	392	0.1156390974	2023.6232890858	0.4826678325	-0.2411576653
24.958	393	0.1156420777	2022.3534418555	0.4826290895	-0.2412120248
24.975	394	0.1156493494	2021.0886014157	0.4825929691	-0.2412670995
24.991	395	0.1156557867	2019.8250126734	0.4825568487	-0.2413216973
25.008	396	0.1156625817	2018.5626756288	0.4825183441	-0.2413733149
25.022	397	0.1156683037	2017.2990868866	0.4824811508	-0.2414220715
25.034	398	0.1156731913	2016.0348722956	0.4824440767	-0.2414767886
25.052	399	0.1156807015	2014.7756644950	0.4824072410	-0.2415249492
25.064	400	0.1156857083	2013.5152049968	0.4823687364	-0.2415790702
